x,y,label
2.07235,-3.24169,0
17.9367,15.7848,0
1.08358,7.31918,0
11.1207,14.4068,0
23.7115,2.55773,0
24.1699,32.0248,0
21.6658,4.89286,0
4.69368,12.3422,0
19.2119,-1.12137,0
4.23039,-4.44154,0
9.12713,23.6057,0
0.407503,15.2971,0
7.31485,3.30931,0
-3.4384,-12.0253,0
17.6394,-3.21234,0
4.41529,22.8155,0
11.9412,8.12249,0
0.725853,1.80682,0
8.18527,28.1326,0
-5.77359,1.0248,0
18.7694,24.1695,0
7.75202,-3.33499,0
10.6113,28.4438,0
2.02165,-4.68712,0
5.14552,11.186,0
6.24331,19.4772,0
-11.7067,8.07318,0
7.25598,14.637,0
3.39237,1.22071,0
24.2999,40.4289,1
4.09401,6.94469,0
11.8036,-2.44534,0
0.0922879,-6.65103,0
28.5061,-9.09183,0
23.4083,7.93144,0
10.5631,12.5447,0
20.1416,11.1179,0
-1.87127,8.60885,0
29.3024,14.0218,0
18.6538,17.2167,0
-2.97219,6.371,0
10.3231,12.1157,0
16.9054,-1.35504,0
6.75371,12.028,0
23.9478,13.3505,0
6.88351,6.18856,0
-1.24154,10.0818,0
20.5083,-1.57887,0
-3.75683,1.60851,0
17.9176,13.099,0
2.00254,-0.656524,0
10.7768,15.5336,0
24.1582,5.33037,0
0.326873,7.28879,0
21.6478,14.0051,0
6.87142,21.52,0
15.1426,5.11195,0
11.5471,4.75756,0
0.661168,-10.1426,0
-13.6653,16.939,0
24.9094,-10.8204,0
-4.53022,-6.17377,0
3.16368,8.05148,0
1.49517,-7.2616,0
7.09764,2.10575,0
3.50948,24.5849,0
12.9988,24.9125,0
0.359382,6.38792,0
14.3543,-2.25242,0
3.83121,-2.00087,0
31.4046,26.7721,0
-5.5011,13.3913,0
-1.04476,5.9559,0
4.40901,9.32368,0
2.9172,16.54,0
7.26595,10.6479,0
10.3204,13.3686,0
9.35213,10.4243,0
6.64853,11.0753,0
-1.92231,4.88849,0
7.22604,13.0295,0
8.32729,8.541,0
17.6905,21.5956,0
16.5835,18.1611,0
12.3542,31.9671,0
2.47114,5.48276,0
18.4925,29.4242,0
10.1196,7.16208,0
20.4025,3.94332,0
12.7159,4.53166,0
24.3586,-4.0644,0
21.7431,15.9089,0
12.2721,-9.61212,0
18.2968,22.3856,0
3.53096,8.6733,0
5.02604,36.0377,0
-0.863301,-7.58625,0
26.8389,13.1371,0
19.12,7.20971,0
-0.884164,27.1525,0
-5.19153,29.6561,0
9.79609,15.436,0
11.6631,10.6343,0
9.9252,26.8036,0
33.91,15.0265,0
9.57004,9.2481,0
-16.2653,13.9002,0
15.1058,3.35005,0
-4.1865,7.96441,0
12.5482,32.5187,0
-7.73347,9.63449,0
18.9134,15.7414,0
-1.05002,-4.00346,0
-6.89476,1.0418,0
23.0503,-12.7693,0
25.9607,11.4452,0
7.9508,6.81141,0
-3.66952,-4.3297,0
10.5227,23.3561,0
26.2945,10.5181,0
12.429,23.1566,0
0.117024,24.6527,0
-1.04002,1.62986,0
11.1627,9.0201,0
13.6145,0.883219,0
8.02804,14.8297,0
20.4025,22.0472,0
8.81803,18.9042,0
-0.316315,21.406,0
7.19019,9.13962,0
-0.471147,-8.29095,0
